sub cond rt
2 2 0.61697
2 2 0.499775
2 2 0.491986
2 2 0.475697
2 2 0.655192
2 1 0.488738
2 2 0.60888
2 2 0.50737
2 2 0.678593
2 2 0.647526
2 2 0.593716
2 1 0.525449
2 1 0.576758
2 1 0.594513
2 2 0.65466
2 1 0.547223
2 1 0.697409
3 2 0.639423
3 1 0.754597
3 1 0.594768
3 1 0.598986
3 1 0.707208
3 2 0.594784
3 1 0.831034
3 1 0.595757
3 1 0.633144
3 2 0.964167
3 1 0.521843
3 2 0.600711
3 2 0.644263
3 2 0.474732
3 2 0.579539
3 2 0.687454
3 1 0.591691
3 1 0.446599
3 1 0.62965
3 2 0.600532
3 2 0.449653
3 2 0.555844
3 1 0.561367
3 1 0.430878
3 2 0.392688
3 1 0.420822
3 1 0.46651
3 1 0.667992
3 2 0.731851
3 2 1.018098
3 1 0.85311
3 2 0.7908
3 1 0.593469
3 2 0.47456
3 2 0.970439
3 2 0.607461
3 1 0.4365
3 1 0.774652
3 2 0.571602
3 2 1.384547
3 2 0.727007
3 2 0.760859
3 2 0.622475
3 2 0.696985
3 1 0.424201
3 1 0.539048
3 1 0.513229
3 1 0.805556
3 1 0.611162
3 2 0.472357
3 1 0.594668
3 1 0.934932
3 2 0.413275
3 1 0.67278
3 2 0.584686
3 1 0.529004
3 2 0.519847
3 1 0.494728
3 2 1.29495
3 1 0.590423
3 2 1.098649
3 1 0.515059
3 2 0.67354
3 2 0.506464
3 2 0.66024
3 1 0.660807
3 2 0.430375
3 1 0.80121
3 1 0.588856
3 2 0.603303
3 1 0.766481
3 2 0.651102
3 2 0.570075
3 2 0.814987
3 2 0.882584
3 1 0.611584
3 1 1.094218
3 2 0.622609
3 2 0.47532
3 1 0.747277
3 1 0.52075
3 1 0.551616
3 2 0.490768
3 2 0.618965
3 2 0.357848
3 1 0.619316
3 1 0.486237
3 1 0.637399
3 1 0.439643
3 1 0.80179
3 2 0.82146
3 2 0.792423
3 1 0.75691
3 2 1.121416
3 2 0.888559
3 1 0.873892
3 1 1.010956
3 1 0.686608
3 2 0.742895
3 1 1.061212
3 2 0.558877
3 1 0.980493
3 2 0.921039
3 1 0.545981
3 1 0.552191
3 1 0.709715
3 1 0.677677
3 1 1.349622
3 1 0.572274
3 1 0.737186
3 2 1.025721
3 2 0.668783
3 2 0.572693
3 2 0.716484
3 1 0.464936
3 2 0.484711
3 1 0.724921
3 2 0.670916
3 2 0.455844
3 2 0.681352
3 2 0.674864
3 1 0.699783
3 2 0.636041
3 2 0.766275
3 1 0.883905
3 1 0.959821
3 2 0.540563
3 2 0.599852
3 1 0.589705
3 2 0.537848
3 2 0.800116
3 1 0.708374
3 1 0.667973
3 1 1.004173
3 2 0.519855
3 2 0.5332
3 2 0.823696
3 1 1.179313
3 1 0.696421
3 1 0.762817
3 1 0.424399
3 2 0.883248
3 2 0.518968
3 2 0.532764
3 1 0.595632
3 1 0.535849
3 1 0.622066
3 2 0.616986
3 1 0.667881
3 2 0.716799
3 1 0.636399
3 2 0.598625
3 2 0.913854
3 1 0.623093
3 1 0.585485
3 1 0.412081
3 2 0.654778
3 1 1.05635
3 2 0.481585
3 2 0.587343
3 2 0.495578
3 1 0.790725
3 1 1.051087
3 2 0.940785
3 1 0.595201
3 1 0.39937
3 1 0.57152
3 1 0.540146
3 1 0.537345
3 2 1.111525
3 2 0.591307
3 2 0.467516
3 2 0.571893
3 2 1.220924
3 1 0.544098
3 2 0.761821
3 2 0.663374
3 2 0.728445
3 2 0.999366
3 2 0.635725
3 1 0.484213
3 1 0.515972
3 1 0.589435
3 2 0.649609
3 1 0.822364
3 1 0.609385
3 2 0.924941
4 2 0.607494
4 1 0.619894
4 1 0.604871
4 1 0.592394
4 1 0.612586
4 2 0.839148
4 1 0.673335
4 1 0.5833
4 1 0.509581
4 2 0.661059
4 1 0.582597
4 2 0.71443
4 2 0.769965
4 2 0.619719
4 2 0.622584
4 2 0.665399
4 1 0.682968
4 1 0.473954
4 1 0.599251
4 2 0.65942
4 2 0.494788
4 2 0.622933
4 1 0.601737
4 1 0.621306
4 2 0.640128
4 1 0.610349
4 1 0.653624
4 1 0.583197
4 2 0.577597
4 2 0.501966
4 1 0.637408
4 2 0.503656
4 1 0.504401
4 2 0.550072
4 2 0.716242
4 2 0.619792
4 1 0.582693
4 1 0.603492
4 1 0.870008
4 2 0.59893
4 2 0.635122
4 2 0.498885
4 2 0.740574
4 2 0.682803
4 2 0.481789
4 1 0.53862
4 1 0.552783
4 1 0.454269
4 1 0.683269
4 1 0.679283
4 2 0.638918
4 2 0.561084
4 1 0.589736
4 1 0.689941
4 2 0.682168
4 1 0.667016
4 2 0.600944
4 1 0.559957
4 2 0.565448
4 1 0.538916
4 2 0.52113
4 1 0.527943
4 2 0.845787
4 1 0.576032
4 2 0.609711
4 2 0.605215
4 2 0.568844
4 1 0.581698
4 2 0.673603
4 1 0.554425
4 1 0.623901
4 2 0.543589
4 1 0.561253
4 2 0.566743
4 2 0.651346
4 2 0.629828
4 2 0.672663
4 2 0.617548
4 1 0.612396
4 1 0.567905
4 2 0.572694
4 2 0.544264
4 1 0.554026
4 1 0.593755
4 1 0.501954
4 2 0.64524
4 2 0.543467
4 2 0.573627
4 1 0.58646
4 1 0.646596
4 1 0.568822
4 1 0.653656
4 1 0.543204
4 2 0.524341
4 2 0.747174
4 1 0.702903
4 2 0.58807
4 2 0.496218
4 1 0.503469
4 1 0.630919
4 1 0.52076
4 2 0.551596
4 1 0.533078
4 2 0.683901
4 1 0.516071
4 2 0.631893
4 2 0.609739
4 1 0.581256
4 1 0.514056
4 1 0.529534
4 1 0.509885
4 1 0.613355
4 1 0.61403
4 1 0.577597
4 2 0.673433
4 2 0.730248
4 1 0.929144
4 2 0.552174
4 1 0.588143
4 2 0.524385
4 1 0.587193
4 2 0.575914
4 2 0.684757
4 2 0.636986
4 2 0.563982
4 1 0.66549
4 2 1.035003
4 2 0.508415
4 1 0.539818
4 1 0.575456
4 2 0.820344
4 2 0.654086
4 1 0.578851
4 2 0.655555
4 2 0.753156
4 1 0.526721
4 1 0.677553
4 1 0.537934
4 2 0.536081
4 2 0.488877
4 2 0.725797
4 1 0.645769
4 1 0.575918
4 1 0.599292
4 1 0.499405
4 2 0.515593
4 2 0.593188
4 2 0.581425
4 1 0.562241
4 1 0.559743
4 1 0.732288
4 2 0.563114
4 1 0.512609
4 2 0.568054
4 1 0.564925
4 2 0.522395
4 2 0.505192
4 1 0.515887
4 1 0.541524
4 1 0.636155
4 2 0.665185
4 1 0.586741
4 2 0.575419
4 2 0.669787
4 2 0.662672
4 1 0.560197
4 1 0.549696
4 2 0.63585
4 1 0.620976
4 1 0.519895
4 1 0.598674
4 1 0.518383
4 1 0.517124
4 2 0.660018
4 2 0.485552
4 2 0.541647
4 2 0.534951
